b number,NAME,PRODUCT-NAME,Class,Protein,RNA FISH
b2497,uraA,UraA uracil NCS2 transporter,noessential,,
b2498,upp,uracil phosphoribosyltransferase,noessential,,
b2499,purM,phosphoribosylformylglycinamide cyclo-ligase,noessential,,
b2500,purN,phosphoribosylglycinamide formyltransferase,noessential,,
b2501,ppk,degradosome,noessential,1,
b2502,ppx,exopolyphosphatase,noessential,,
b2503,yfgF,predicted inner membrane protein,noessential,,
b2504,yfgG,predicted protein,noessential,,
b2505,yfgH,predicted outer membrane lipoprotein,noessential,,
b2506,yfgI,putative membrane protein,noessential,,
b2507,guaA,GMP synthetase,noessential,1,
b2508,guaB,IMP dehydrogenase,noessential,,
b2509,xseA,exonuclease VII; large subunit,noessential,,
b2510,yfgJ,predicted protein,noessential,,
b2511,der,50S ribosomal subunit stability factor,essential,1,
b2512,yfgL,Outer Membrane Protein Assembly Complex,noessential,,
b2513,yfgM,conserved protein,noessential,,
b2514,hisS,histidyl-tRNA synthetase,essential,1,
b2515,ispG,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,essential,1,
b2516,yfgA,putative membrane protein,noessential,1,
b2517,rlmN,23S rRNA m<sup>2</sup>A2503 methyltransferase,noessential,1,
b2518,ndk,nucleoside diphosphate kinase [multifunctional],noessential,1,1
b2519,pbpC,putative peptidoglycan enzyme,noessential,,
b2520,yfhM,putative lipoprotein,noessential,1,
b2521,sseA,3-mercaptopyruvate:cyanide sulfurtransferase,noessential,,
b2522,sseB,overproduction causes enhanced serine sensitivity,noessential,,
b2523,pepB,aminopeptidase B,noessential,1,
b2524,iscX,protein with possible role in iron-sulfur cluster biogenesis,noessential,,
b2525,fdx,oxidized ferredoxin,noessential,,
b2526,hscA,chaperone; member of Hsp70 protein family,noessential,,
b2527,hscB,Hsc20 co-chaperone that acts with Hsc66 in IscU iron-sulfur cluster assembly,noessential,,
b2528,iscA,iron-sulfur cluster assembly protein,noessential,,
b2529,iscU,scaffold protein involved in iron-sulfur cluster assembly,noessential,1,1
b2530,iscS,cysteine desulfurase monomer,noessential,1,1
b2531,iscR,IscR transcriptional dual regulator,noessential,,
b2532,trmJ,tRNA:Cm32/Um32 methyltransferase,noessential,,
b2533,suhB,inositol monophosphatase; putative mRNA turnover protein,essential,,
b2534,yfhR,predicted peptidase,noessential,,
b2535,csiE,stationary phase inducible protein,noessential,,
b2536,hcaT,HcaT MFS transporter,noessential,,
b2537,hcaR,HcaR transcriptional dual regulator,noessential,,
b2538,hcaE,3-phenylpropionate dioxygenase; &alpha; subunit,noessential,,
b2539,hcaF,3-phenylpropionate dioxygenase; &beta; subunit,noessential,,
b2540,hcaC,ferredoxin; 3-phenylpropionate dioxygenase system,noessential,,
b2541,hcaB,3-phenylpropionate-2';3'-dihydrodiol dehydrogenase,noessential,,
b2542,hcaD,ferredoxin NAD+ reductase,noessential,,
b2543,yphA,predicted inner membrane protein,noessential,,
b2544,yphB,conserved protein,noessential,,
b2545,yphC,predicted oxidoreductase; Zn-dependent and NAD(P)-binding,noessential,,
b2546,yphD,YphD/YphE/YphF ABC transporter,noessential,,
b2547,yphE,YphD/YphE/YphF ABC transporter,noessential,1,
b2548,yphF,YphD/YphE/YphF ABC transporter,noessential,,
b2549,yphG,conserved protein,noessential,,
b2550,yphH,predicted DNA-binding transcriptional regulator; NAGC-like,noessential,,
b2551,glyA,serine hydroxymethyltransferase,noessential,1,1
b2552,hmp,nitric oxide dioxygenase / dihydropteridine reductase,noessential,,
b2553,glnB,PII-UMP,noessential,1,
b2554,yfhA,predicted DNA-binding response regulator in two-component system,noessential,1,
b2555,yfhG,conserved protein,noessential,,
b2556,yfhK,predicted sensory kinase in two-component system,noessential,,
b2557,purL,phosphoribosylformylglycinamide synthase,noessential,1,
b2558,yfhD,predicted transglycosylase,noessential,,
b2559,tadA,TadA; monomer of tRNA specific adenosine deaminase,noessential,1,
b2560,yfhB,conserved protein,noessential,,
b2561,yfhH,predicted DNA-binding transcriptional regulator,noessential,,
b2562,yfhL,predicted 4Fe-4S cluster-containing protein,noessential,,
b2563,acpS,holo-[acyl-carrier-protein] synthase,essential,1,
b2564,pdxJ,pyridoxine 5'-phosphate synthase monomer,noessential,,
b2565,recO,protein interacts with RecR and possibly RecF proteins,noessential,1,
b2566,era,GTP-binding protein,essential,1,
b2567,rnc,RNase III,noessential,1,
b2568,lepB,leader peptidase (signal peptidase I),essential,,
b2569,lepA,elongation factor 4,noessential,1,
b2570,rseC,SoxR and Sigma-E factor regulatory protein RseC,noessential,,
b2571,rseB,anti-sigma factor,noessential,,
b2572,rseA,anti-sigma factor,noessential,,
b2573,rpoE,RNA polymerase; sigma 24 (sigma E) factor,noessential,,
b2574,nadB,L-aspartate oxidase,noessential,,
b2575,yfiC,predicted S-adenosyl-L-methionine-dependent methyltransferase,noessential,,
b2576,srmB,SrmB; DEAD-box RNA helicase,noessential,,
b2577,yfiE,predicted DNA-binding transcriptional regulator LYSR-type,noessential,,
b2578,eamB,O-Acetylserine/Cysteine Efflux Permease,noessential,,
b2579,yfiD,stress-induced alternate pyruvate formate-lyase subunit,noessential,1,
b2580,ung,uracil-DNA-glycosylase,noessential,1,
b2581,yfiF,predicted methyltransferase,noessential,1,
b2582,trxC,oxidized thioredoxin 2,noessential,,
b2583,yfiP,conserved protein,noessential,,
b2584,yfiQ,fused predicted acyl-CoA synthetase: NAD(P)-binding subunit; ATP-binding subunit,noessential,1,
b2585,pssA,phosphatidylserine synthase,essential,1,1
b2586,yfiM,predicted protein,noessential,,
b2587,kgtP,KgtP &alpha;-ketoglutarate MFS transporter,noessential,,
b2588,rrfG,rrfG 5S ribosomal RNA,noessential,,
b2589,rrlG,rrlG 23S ribosomal RNA,noessential,,
b2590,gltW,tRNA<SUP>gltW</SUP>,noessential,,
b2591,rrsG,rrsG 16S ribosomal RNA,noessential,,
b2592,clpB,ClpB chaperone,noessential,1,1
b2593,yfiH,conserved protein,noessential,,
b2594,rluD,23S rRNA pseudouridine synthase,noessential,1,
b2595,yfiO,Outer Membrane Protein Assembly Complex,essential,,
b2597,raiA,stationary phase translation inhibitor and ribosome stability factor,noessential,1,1
b2598,pheL,leader peptide of chorismate mutase-P-prephenate dehydratase,noessential,,
b2599,pheA,chorismate mutase / prephenate dehydratase,noessential,,
b2600,tyrA,chorismate mutase / prephenate dehydrogenase,noessential,1,
b2601,aroF,2-dehydro-3-deoxyphosphoheptonate aldolase,noessential,,
b2602,yfiL,putative lipoprotein,noessential,,
b2603,yfiR,predicted protein,noessential,,
b2604,yfiN,predicted diguanylate cyclase,noessential,,
b2605,yfiB,predicted outer membrane lipoprotein,noessential,,
b2606,rplS,50S ribosomal subunit protein L19,essential,,
b2607,trmD,tRNA (m<sup>1</sup>G37)methyltransferase,essential,,
b2608,rimM,ribosome maturation protein,essential,,
b2609,rpsP,30S ribosomal subunit protein S16,essential,,
b2610,ffh,protein component of the signal recognition particle (SRP),essential,,
b2611,ypjD,predicted inner membrane protein,noessential,,
b2614,grpE,phage lambda replication; host DNA synthesis; heat shock protein; protein repair,essential,,
b2615,nadK,NAD kinase monomer,essential,1,
b2616,recN,protein used in recombination and DNA repair,noessential,1,
b2617,smpA,Outer Membrane Protein Assembly Complex,noessential,,
b2618,yfjF,predicted protein,noessential,,
b2619,yfjG,toxin of a putative toxin-antitoxin pair,noessential,,
b2620,smpB,small protein B,noessential,1,
b2621,ssrA,tmRNA,noessential,,
b2622,intA,CP4-57 prophage; integrase,noessential,,
b2623,yfjH,CP4-57 prophage; predicted protein,noessential,,
b2624,alpA,AlpA transcriptional activator; CP4-57 prophage,noessential,,
b2625,yfjI,CP4-57 prophage; predicted protein,noessential,,
b2626,yfjJ,CP4-57 prophage; predicted protein,noessential,,
b2627,yfjK,CP4-57 prophage; conserved protein,noessential,1,
b2628,yfjL,CP4-57 prophage; predicted protein,noessential,1,
b2629,yfjM,CP4-57 prophage; predicted protein,noessential,,
b2630,rnlA,CP4-57 prophage; RNase LS,noessential,,
b2631,yfjO,CP4-57 prophage; predicted protein,noessential,,
b2632,yfjP,CP4-57 prophage; predicted GTP-binding protein,noessential,,
b2633,yfjQ,CP4-57 prophage; predicted protein,noessential,,
b2634,yfjR,CP4-57 prophage; predicted DNA-binding transcriptional regulator,noessential,,
b2635,ypjK,CP4-57 prophage; predicted inner membrane protein,noessential,,
b2636,yfjS,CP4-57 prophage; inner membrane lipoprotein YfjS,noessential,,
b2637,yfjT,CP4-57 prophage; predicted protein,noessential,,
b2638,yfjU,CP4-57 prophage; conserved protein,noessential,,
b2639,ypjL,CP4-57 prophage; predicted inner membrane protein,noessential,,
b2640,yfjV,CP4-57 prophage; predicted protein,noessential,,
b2641,ypjM,CP4-57 prophage; predicted protein,,,
b2642,yfjW,CP4-57 prophage; predicted inner membrane protein,noessential,,
b2643,yfjX,CP4-57 prophage; predicted antirestriction protein,noessential,,
b2644,yfjY,CP4-57 prophage; predicted DNA repair protein,noessential,,
b2645,yfjZ,CP4-57 prophage; predicted antitoxin of the YpjF-YfjZ toxin-antitoxin system,noessential,,
b2646,ypjF,CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system,noessential,,
b2647,ypjA,adhesin-like autotransporter,noessential,,
b2649,ypjB,predicted protein,noessential,,
b2650,ypjC,predicted protein,noessential,,
b2652,ileY,tRNA<SUP>ileY</SUP>,noessential,,
b2654,ygaQ,predicted protein,noessential,,
b2658,yqaD,conserved protein,,,
b2659,csiD,predicted protein,noessential,,
b2660,ygaF,predicted enzyme,noessential,,
b2661,gabD,succinate semialdehyde dehydrogenase (NAD(P)+ dependent),noessential,1,
b2662,gabT,4-aminobutyrate aminotransferase monomer,noessential,,
b2663,gabP,GabP APC transporter,noessential,,
b2664,csiR,CsiR transcriptional repressor,noessential,,
b2665,ygaU,predicted protein,noessential,,
b2666,yqaE,predicted membrane protein,noessential,,
b2667,ygaV,predicted DNA-binding transcriptional regulator,noessential,1,
b2668,ygaP,predicted inner membrane protein with hydrolase activity,noessential,1,
b2669,stpA,H-NS-like DNA-binding protein with RNA chaperone activity,noessential,,
b2670,ygaW,predicted inner membrane protein,noessential,,
b2671,ygaC,predicted protein,noessential,,
b2672,ygaM,predicted protein,noessential,,
b2673,nrdH,glutaredoxin-like protein,noessential,1,
b2674,nrdI,conserved protein that may stimulate ribonucleotide reductase,noessential,,
b2675,nrdE,ribonucleoside-diphosphate reductase 2,noessential,,
b2676,nrdF,ribonucleoside-diphosphate reductase 2,noessential,,
b2677,proV,proline ABC transporter,noessential,,
b2678,proW,proline ABC transporter,noessential,,
b2679,proX,proline ABC transporter,noessential,,
b2680,ygaX,predicted transporter,noessential,,
b2681,ygaY,predicted transporter,noessential,,
b2682,ygaZ,predicted transporter,noessential,,
b2683,ygaH,predicted inner membrane protein,noessential,,
b2684,mprA,MprA transcriptional repressor,noessential,,
b2685,emrA,EmrA Membrane Fusion Protein,noessential,,
b2686,emrB,EmrB multidrug MFS transporter,noessential,,
b2687,luxS,S-ribosylhomocysteine lyase (AI-2 synthesis protein),noessential,,
b2688,gshA,glutamate-cysteine ligase,noessential,1,
b2689,yqaA,conserved inner membrane protein,noessential,,
b2690,yqaB,fructose-1-phosphatase,noessential,1,
b2691,argQ,tRNA<SUP>argQ</SUP>,noessential,,
b2692,argZ,tRNA<SUP>argZ</SUP>,noessential,,
b2693,argY,tRNA<SUP>argY</SUP>,noessential,,
b2694,argV,tRNA<SUP>argV</SUP>,noessential,,
b2695,serV,tRNA<SUP>serV</SUP>,essential,,
b2696,csrA,carbon storage regulator; controls glycogen synthesis; gluconeogenesis; cell size and surface properties,essential,1,1
b2697,alaS,AlaS transcriptional repressor; alanyl-tRNA synthetase,essential,1,
b2698,recX,inhibitor of RecA,noessential,,
b2699,recA,DNA strand exchange and recombination protein with protease and nuclease activity,noessential,,
b2700,ygaD,conserved protein,noessential,,
b2701,mltB,membrane-bound lytic murein transglycosylase B,noessential,1,
b2702,srlA,glucitol/sorbitol-specific enzyme IIC component of PTS,noessential,,
b2703,srlE,glucitol/sorbitol-specific enzyme IIB component of PTS,noessential,,
b2704,srlB,glucitol/sorbitol-specific enzyme IIA component of PTS,noessential,,
b2705,srlD,sorbitol-6-phosphate dehydrogenase,noessential,,
b2706,gutM,GutM transcriptional activator,noessential,,
b2707,srlR,GutR transcriptional repressor,noessential,,
b2708,gutQ,D-arabinose 5-phosphate isomerase,noessential,,
b2709,norR,NorR transcriptional dual regulator,noessential,,
b2710,norV,flavorubredoxin,noessential,,
b2711,norW,flavorubredoxin reductase,noessential,,
b2712,hypF,hydrogenase maturation protein,noessential,,
b2713,hydN,putative electron transport protein HydN,noessential,,
b2714,ascG,AscG transcriptional repressor,noessential,,
b2715,ascF,EIIAsc,noessential,,
b2716,ascB,6-phospho-&beta;-glucosidase; cryptic,noessential,,
b2717,hycI,hydrogenase 3 maturation protease,noessential,1,
b2718,hycH,protein required for maturation of hydrogenase 3,noessential,,
b2719,hycG,hydrogenase 3 and formate hydrogenlyase complex; HycG subunit,noessential,,
b2720,hycF,formate hydrogenlyase complex iron-sulfur protein,noessential,,
b2721,hycE,hydrogenase 3; large subunit,noessential,1,
b2722,hycD,hydrogenase 3; membrane subunit,noessential,,
b2723,hycC,hydrogenase 3; membrane subunit,noessential,,
b2724,hycB,hydrogenase 3; Fe-S subunit,noessential,,
b2725,hycA,regulator of the transcriptional regulator FhlA,noessential,1,
b2726,hypA,accessory protein for nickel incorporation into hydrogenase 3,noessential,1,
b2727,hypB,accessory protein for nickel incorporation into hydrogenase isoenzymes,noessential,1,
b2728,hypC,protein involved in hydrogenase 3 maturation,noessential,1,
b2729,hypD,protein involved in maturation of hydrogenase isoenzymes,noessential,1,
b2730,hypE,hydrogenase maturation protein,noessential,1,
b2731,fhlA,FhlA transcriptional activator,noessential,,
b2732,ygbA,predicted protein,noessential,,
b2733,mutS,MutHLS complex; methyl-directed mismatch repair,noessential,,
b2734,pphB,protein-tyrosine-phosphatase / phosphoprotein phosphatase,noessential,,
b2735,ygbI,predicted DNA-binding transcriptional regulator; DEOR-type,noessential,,
b2736,ygbJ,predicted dehydrogenase; with NAD(P)-binding Rossmann-fold domain,noessential,,
b2737,ygbK,conserved protein,noessential,,
b2738,ygbL,predicted class II aldolase,noessential,,
b2739,ygbM,conserved protein,noessential,,
b2740,ygbN,YgbN Gnt transporter,noessential,,
b2741,rpoS,RNA polymerase; sigma S (sigma 38) factor,noessential,,
b2742,nlpD,NlpD putative outer membrane lipoprotein,noessential,,
b2743,pcm,L-isoaspartate protein carboxylmethyltransferase type II,noessential,,
b2744,surE,broad specificity 5'(3')-nucleotidase and polyphosphatase,noessential,,
b2745,truD,tRNA pseudouridine 13 synthase,noessential,1,
b2746,ispF,2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase monomer,essential,1,
b2747,ispD,4-diphosphocytidyl-2C-methyl-D-erythritol synthetase monomer,essential,,
b2748,ftsB,essential cell division protein FtsB,essential,,
b2749,ygbE,putative cytochrome oxidase subunit,noessential,,
b2750,cysC,adenylylsulfate kinase,noessential,,
b2751,cysN,sulfate adenylyltransferase,noessential,1,
b2752,cysD,sulfate adenylyltransferase,noessential,,
b2753,iap,alkaline phosphatase isozyme conversion protein,noessential,,
b2754,ygbF,predicted protein,noessential,,
b2755,ygbT,conserved protein,noessential,1,
b2756,ygcH,predicted protein,noessential,,
b2757,ygcI,predicted protein,noessential,,
b2758,ygcJ,predicted protein,noessential,,
b2759,ygcK,predicted protein,noessential,,
b2760,ygcL,predicted protein,noessential,,
b2761,ygcB,conserved protein; member of DEAD box family,noessential,,
b2762,cysH,3'-phospho-adenylylsulfate reductase,noessential,,
b2763,cysI,sulfite reductase hemoprotein subunit,noessential,,
b2764,cysJ,sulfite reductase flavoprotein subunit,noessential,,
b2765,sscR,6-pyruvoyl tetrahydropterin synthase,noessential,1,
b2766,ygcN,predicted oxidoreductase with FAD/NAD(P)-binding domain,noessential,,
b2767,ygcO,predicted 4Fe-4S cluster-containing protein,noessential,,
b2768,ygcP,predicted anti-terminator regulatory protein,noessential,,
b2769,ygcQ,predicted flavoprotein,noessential,,
b2770,ygcR,predicted flavoprotein,noessential,,
b2771,ygcS,YgcS MFS transporter,noessential,,
b2774,ygcW,predicted deoxygluconate dehydrogenase,noessential,1,
b2775,yqcE,YqcE MFS transporter,noessential,,
b2776,ygcE,predicted kinase,noessential,1,
b2777,ygcF,conserved protein,noessential,1,
b2778,ygcG,predicted protein,noessential,,
b2779,eno,degradosome,essential,1,1
b2780,pyrG,CTP synthetase,essential,,
b2781,mazG,nucleoside triphosphate pyrophosphohydrolase,noessential,,
b2782,chpA,MazF toxin of the MazF-MazE toxin-antitoxin system that exhibits ribonuclease activity,noessential,,
b2783,chpR,MazE antitoxin of the MazF-MazE toxin-antitoxin system,noessential,,
b2784,relA,GDP pyrophosphokinase / GTP pyrophosphokinase,noessential,,
b2785,rumA,23S ribosomal RNA 5-methyluridine methyltransferase,noessential,,
b2786,barA,BarA-P<SUP>his</SUP>,noessential,1,
b2787,gudD,<i>D</i>-glucarate dehydratase,noessential,,
b2788,gudX,glucarate dehydratase-related protein,noessential,,
b2789,gudP,YgcZ MFS transporter,noessential,,
b2790,yqcA,predicted flavoprotein,noessential,,
b2791,truC,tRNA pseudouridine 65 synthase,noessential,,
b2792,yqcC,conserved protein,noessential,,
b2793,syd,predicted protein,noessential,1,
b2794,queF,NADPH-dependent nitrile oxidoreductase monomer,noessential,,
b2795,ygdH,conserved protein,noessential,,
b2796,sdaC,SdaC serine STP transporter,noessential,,
b2797,sdaB,L-serine deaminase II,noessential,,
b2798,xni,exonuclease IX; 3'-5' exonuclease,noessential,1,
b2799,fucO,L-1;2-propanediol oxidoreductase monomer,noessential,,
b2800,fucA,L-fuculose-phosphate aldolase,noessential,,
b2801,fucP,FucP fucose MFS transporter,noessential,,
b2802,fucI,L-fucose isomerase,noessential,,
b2803,fucK,L-fuculokinase,noessential,1,
b2804,fucU,L-fucose mutarotase,noessential,1,
b2805,fucR,FucR transcriptional activator,noessential,,
b2806,ygdE,putative RNA 2'-O-ribose methyltransferase,noessential,,
b2807,ygdD,conserved inner membrane protein,noessential,,
b2808,gcvA,GcvA transcriptional dual regulator,noessential,,
b2809,ygdI,putative lipoprotein,noessential,,
b2810,csdA,cysteine sulfinate desulfinase,noessential,1,
b2811,csdE,cysteine sulfinate desulfinase,noessential,,
b2812,ygdL,conserved protein,noessential,,
b2813,mltA,membrane-bound lytic murein transglycosylase A,noessential,1,
b2814,metZ,tRNA<SUP>metZ</SUP>,noessential,,
b2815,metW,tRNA<SUP>metW</SUP>,noessential,,
b2816,metV,tRNA<SUP>metV</SUP>,noessential,,
b2817,amiC,N-acetylmuramyl-L-alanine amidase,noessential,,
b2818,argA,N-acetylglutamate synthase,noessential,,
b2819,recD,DNA helicase; ATP-dependent dsDNA/ssDNA exonuclease V subunit; ssDNA endonuclease,noessential,1,
b2820,recB,RecB; DNA helicase; ATP-dependent dsDNA/ssDNA exonuclease V subunit; ssDNA endonuclease,noessential,1,
b2821,ptrA,protease III,noessential,,
b2822,recC,DNA helicase; ATP-dependent dsDNA/ssDNA exonuclease V subunit; ssDNA endonuclease,noessential,,
b2823,ppdC,predicted protein,noessential,,
b2824,ygdB,predicted protein,noessential,,
b2825,ppdB,conserved protein,noessential,,
b2826,ppdA,conserved protein,noessential,,
b2827,thyA,thymidylate synthase,noessential,1,
b2828,lgt,phosphatidylglycerol-prolipoprotein diacylglyceryl transferase; a major membrane phospholipid,essential,,
b2829,ptsP,PTS system; enzyme I; transcriptional regulator (with NPR and NTR proteins),noessential,,
b2830,rppH,putative  invasion protein,noessential,1,
b2831,mutH,MutHLS complex; methyl-directed mismatch repair,noessential,1,
b2832,ygdQ,putative transport protein,noessential,,
b2833,ygdR,predicted protein,noessential,,
b2834,tas,putative NAD(P)-linked reductase that acts in starvation-associated mutation,noessential,,
b2835,lplT,lysophospholipid transporter,noessential,,
b2836,aas,2-acylglycerophosphoethanolamine acyltransferase / acyl-ACP synthetase,noessential,,
b2837,galR,GalR transcriptional dual regulator,noessential,,
b2838,lysA,diaminopimelate decarboxylase,noessential,1,
b2839,lysR,LysR transcriptional dual regulator,noessential,,
b2840,ygeA,predicted racemase,noessential,,
b2841,araE,AraE arabinose MFS transporter,noessential,,
b2842,kduD,2-deoxy-D-gluconate 3-dehydrogenase,noessential,,
b2843,kduI,predicted 5-keto 4-deoxyuronate isomerase,noessential,1,
b2844,yqeF,predicted acyltransferase,noessential,1,
b2845,yqeG,YqeG STP transporter,noessential,,
b2846,yqeH,conserved protein with bipartite regulator domain,noessential,,
b2847,yqeI,predicted transcriptional regulator,noessential,,
b2848,yqeJ,predicted protein,noessential,,
b2849,yqeK,predicted protein,noessential,,
b2850,ygeF,predicted protein,noessential,,
b2851,ygeG,predicted chaperone,noessential,,
b2852,ygeH,predicted transcriptional regulator,noessential,,
b2853,ygeI,predicted protein,noessential,,
b2855,ygeK,predicted DNA-binding transcriptional regulator,noessential,,
b2856,ygeL,predicted protein,noessential,,
b2857,ygeM,predicted protein,noessential,,
b2859,ygeO,predicted protein,noessential,,
b2860,insD-4,IS2 element protein,noessential,,
b2861,insC-4,IS2 element protein InsA,noessential,,
b2862,ygeP,predicted protein,noessential,,
b2863,ygeQ,predicted protein,noessential,,
b2864,glyU,tRNA<SUP>glyU</SUP>,noessential,,
b2865,ygeR,putative lipoprotein; predicted DNA-binding transcriptional regulator,noessential,1,
b2866,xdhA,xanthine dehydrogenase subunit with putative molybdenum cofactor-binding domain,noessential,1,
b2867,xdhB,putative xanthine dehydrogenase subunit; FAD-binding domain,noessential,,
b2868,xdhC,putative xanthine dehydrogenase; Fe-S subunit,noessential,,
b2869,ygeV,putative transcriptional regulator,noessential,1,
b2870,ygeW,putative carbamoyltransferase,noessential,,
b2871,ygeX,2;3-diaminopropionate ammonia-lyase monomer,noessential,,
b2872,ygeY,predicted peptidase,noessential,,
b2873,hyuA,phenylhydantoinase monomer,noessential,1,
b2874,yqeA,predicted amino acid kinase,noessential,1,
b2875,yqeB,putative synthase with NAD(P)-binding Rossman fold,noessential,1,
b2876,yqeC,conserved protein,noessential,,
b2877,ygfJ,conserved protein,noessential,,
b2878,ygfK,putative oxidoreductase Fe-S subunit; possible component of selenate reductase,noessential,,
b2879,ssnA,predicted chlorohydrolase/aminohydrolase,noessential,,
b2880,ygfM,predicted oxidoreductase; possible component of selenate reductase,noessential,,
b2881,xdhD,putative oxidoreductase; possible component of selenate reductase with possible role in purine salvage,noessential,,
b2882,ygfO,YgfO NCS2 tranporter,noessential,,
b2883,guaD,guanine deaminase,noessential,,
b2886,ygfS,predicted oxidoreductase;  4Fe-4S ferredoxin-type subunit,noessential,,
b2887,ygfT,fused predicted oxidoreductase; Fe-S subunit and nucleotide-binding subunit,noessential,1,
b2888,ygfU,YgfU NCS2 transporter,noessential,1,
b2889,idi,isopentenyl diphosphate isomerase,noessential,,
b2890,lysS,lysyl tRNA synthetase (LysRSs); constitutive,noessential,1,1
b2891,prfB,peptide chain release factor RF2,essential,,
b2892,recJ,RecJ,noessential,1,
b2893,dsbC,DsbC<SUB>oxidized</SUB>,noessential,1,
b2894,xerD,site-specific recombinase,noessential,,
b2895,fldB,oxidized flavodoxin 2,noessential,,
b2896,ygfX,predicted protein,noessential,,
b2897,ygfY,conserved protein,noessential,,
b2898,ygfZ,folate-binding protein,noessential,,
b2899,yqfA,predicted oxidoreductase; inner membrane subunit,noessential,,
b2900,yqfB,conserved protein,noessential,,
b2901,bglA,6-phospho-&beta;-glucosidase A,noessential,,
b2902,ygfF,predicted NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain,noessential,,
b2903,gcvP,glycine decarboxylase,noessential,1,
b2904,gcvH,H-protein-(dihydrolipoyl)lysine,noessential,,
b2905,gcvT,aminomethyltransferase,noessential,1,
b2906,visC,predicted oxidoreductase; FAD/NAD(P)-binding domain,noessential,1,
b2907,ubiH,2-octaprenyl-6-methoxyphenol hydroxylase,noessential,1,
b2908,pepP,proline aminopeptidase P II,noessential,1,
b2909,ygfB,predicted protein,noessential,1,
b2910,zapA,protein that localizes to the cytokinetic ring,noessential,,
b2911,ssrS,6S RNA,noessential,,
b2912,ygfA,putative ligase,noessential,1,
b2913,serA,&alpha;-ketoglutarate reductase / D-3-phosphoglycerate dehydrogenase,noessential,,
b2914,rpiA,ribose-5-phosphate isomerase A,noessential,,
b2915,yqfE,conserved protein,noessential,,
b2916,argP,ArgP transcriptional activator,noessential,1,
b2917,scpA,methylmalonyl-CoA mutase,noessential,,
b2918,argK,arginine transport ATPase,noessential,,
b2919,scpB,methylmalonyl-CoA decarboxylase,noessential,,
b2920,scpC,propionyl-CoA:succinate CoA transferase,noessential,1,
b2921,ygfI,predicted DNA-binding transcriptional regulator LYSR-type,noessential,,
b2922,yggE,conserved protein,noessential,1,
b2923,argO,arginine export protein,noessential,,
b2924,mscS,mechanosensitive channel MscS,noessential,,
b2925,fbaA,fructose bisphosphate aldolase monomer,essential,1,1
b2926,pgk,phosphoglycerate kinase,essential,1,1
b2927,epd,erythrose 4-phosphate dehydrogenase,noessential,,
b2928,yggC,putative kinase,noessential,,
b2929,yggD,predicted DNA-binding transcriptional regulator,noessential,,
b2930,yggF,conserved protein,noessential,,
b2933,cmtA,CmtAB mannitol PTS permease,noessential,,
b2934,cmtB,CmtAB mannitol PTS permease,noessential,,
b2935,tktA,transketolase I,noessential,1,1
b2936,yggG,predicted peptidase,noessential,,
b2937,speB,agmatinase,noessential,,
b2938,speA,arginine decarboxylase; biosynthetic,noessential,,
b2939,yqgB,predicted protein,noessential,,
b2940,yqgC,predicted protein,noessential,,
b2941,yqgD,hypothetical protein,noessential,,
b2942,metK,MetK S-adenosylmethionine synthetase monomer,essential,1,1
b2943,galP,GalP - galactose MFS transporter,noessential,,
b2944,yggI,conserved protein,noessential,1,
b2945,endA,DNA-specific endonuclease I,noessential,,
b2946,rsmE,16S rRNA m<sup>3</sup>U1498 methyltransferase,noessential,,
b2947,gshB,glutathione synthetase subunit,noessential,,
b2948,yqgE,predicted protein,noessential,1,
b2949,yqgF,predicted Holliday junction resolvase,essential,1,
b2950,yggR,predicted transporter,noessential,,
b2951,yggS,predicted enzyme,noessential,1,
b2952,yggT,predicted inner membrane protein,noessential,,
b2953,yggU,conserved protein,noessential,,
b2954,rdgB,xanthosine triphosphate pyrophosphatase [multifunctional],noessential,1,
b2955,yggW,predicted oxidoreductase,noessential,1,
b2956,yggM,putative alpha-helix chain,noessential,,
b2957,ansB,asparaginase II,noessential,,
b2958,yggN,predicted protein,noessential,,
b2959,yggL,predicted protein,noessential,,
b2960,trmI,tRNA (m7G46) methyltransferase,noessential,1,
b2961,mutY,adenine glycosylase; G.C --> T.A transversions,noessential,1,
b2962,yggX,protein that protects iron-sulfur proteins against oxidative damage,noessential,1,1
b2963,mltC,membrane-bound lytic murein transglycosylase C,noessential,,
b2964,nupG,NupG nucleoside MFS transporter,noessential,,
b2965,speC,ornithine decarboxylase; biosynthetic,noessential,1,
b2966,yqgA,putative transport protein,noessential,,
b2967,pheV,tRNA<SUP>pheV</SUP>,noessential,,
b2968,yghD,predicted secretion pathway protein; M-type protein; membrane anchored,noessential,,
b2970,yghF,predicted secretion pathway protein; C-type protein,noessential,,
b2971,yghG,putative lipoprotein,noessential,1,
b2972,pppA,prepilin peptidase,noessential,,
b2975,glcA,GlcA glycolate transporter,noessential,,
b2976,glcB,malate synthase G,noessential,1,
b2977,glcG,conserved protein,noessential,,
b2979,glcD,glycolate oxidase; predicted FAD-linked subunit,noessential,,
b2980,glcC,GlcC transcriptional dual regulator,noessential,,
b2981,yghO,predicted DNA-binding transcriptional regulator,noessential,,
